,origin_airport,dest_airport,airline,fare,nonstop,distance,origin_city,dest_city,passengers
4265,SFO,EWR,United Airlines,549.24388,0,2565.306273282345,"San Francisco, CA","Newark, NJ",770
4266,SMF,JFK,American Airlines,438.30924000000005,0,2521.111478862715,"Sacramento, CA","New York, NY",130
4267,SFO,JFK,Delta Air Lines,307.80314999999996,1,2586.108460048054,"San Francisco, CA","New York, NY",19240
4268,SJC,EWR,United Airlines,246.5775,1,2548.3875141017347,"San Jose, CA","Newark, NJ",2480
4269,SMF,JFK,Delta Air Lines,362.97617,0,2521.111478862715,"Sacramento, CA","New York, NY",130
4270,SMF,EWR,American Airlines,338.90154,0,2500.327676390121,"Sacramento, CA","Newark, NJ",390
4271,SFO,EWR,Alaska Airlines,226.44607999999997,1,2565.306273282345,"San Francisco, CA","Newark, NJ",2100
4272,SJC,LGA,American Airlines,259.50822999999997,0,2562.5605035832887,"San Jose, CA","New York, NY",400
4273,SFO,LGA,Delta Air Lines,243.34812000000002,0,2579.387574610412,"San Francisco, CA","New York, NY",160
4274,SFO,EWR,Delta Air Lines,302.07144999999997,0,2565.306273282345,"San Francisco, CA","Newark, NJ",140
4275,SMF,LGA,American Airlines,313.36532000000005,0,2514.198111528432,"Sacramento, CA","New York, NY",320
4276,OAK,LGA,Southwest Airlines,241.32683,0,2568.999823959703,"Oakland, CA","New York, NY",950
4277,SFO,JFK,Virgin America,228.24749999999997,0,2586.108460048054,"San Francisco, CA","New York, NY",120
4278,SJC,EWR,Delta Air Lines,253.78043999999997,0,2548.3875141017347,"San Jose, CA","Newark, NJ",230
4279,OAK,EWR,Southwest Airlines,267.04109000000005,0,2554.93212541609,"Oakland, CA","Newark, NJ",650
4280,SMF,LGA,United Airlines,325.31333,0,2514.198111528432,"Sacramento, CA","New York, NY",360
4281,SFO,EWR,American Airlines,286.54130000000004,0,2565.306273282345,"San Francisco, CA","Newark, NJ",230
4282,SFO,LGA,United Airlines,275.45567,0,2579.387574610412,"San Francisco, CA","New York, NY",620
4283,SMF,LGA,Southwest Airlines,292.30499000000003,0,2514.198111528432,"Sacramento, CA","New York, NY",500
4284,SJC,LGA,Delta Air Lines,235.77355999999997,0,2562.5605035832887,"San Jose, CA","New York, NY",140
4285,SFO,JFK,Alaska Airlines,212.20908,1,2586.108460048054,"San Francisco, CA","New York, NY",2200
4286,SFO,LGA,American Airlines,290.08296,0,2579.387574610412,"San Francisco, CA","New York, NY",270
4287,SMF,EWR,Southwest Airlines,307.57086,0,2500.327676390121,"Sacramento, CA","Newark, NJ",590
4288,SMF,EWR,Southwest Airlines,294.41049,1,2500.327676390121,"Sacramento, CA","Newark, NJ",200
4289,SMF,JFK,JetBlue Airways,310.40389999999996,0,2521.111478862715,"Sacramento, CA","New York, NY",180
4290,OAK,EWR,Southwest Airlines,233.2541,1,2554.93212541609,"Oakland, CA","Newark, NJ",1390
4291,SFO,LGA,Southwest Airlines,242.97112999999996,0,2579.387574610412,"San Francisco, CA","New York, NY",350
4292,OAK,JFK,JetBlue Airways,220.47207000000003,1,2575.733456357897,"Oakland, CA","New York, NY",3120
4293,SJC,JFK,JetBlue Airways,240.51256000000004,1,2569.1941788107,"San Jose, CA","New York, NY",3620
4302,SFO,SRQ,Delta Air Lines,363.48865,0,2409.506401364381,"San Francisco, CA","Sarasota/Bradenton, FL",440
4355,SJC,OKC,Southwest Airlines,242.72322999999994,0,1359.434577122014,"San Jose, CA","Oklahoma City, OK",370
4356,SFO,OKC,Southwest Airlines,222.01619,0,1383.54927445104,"San Francisco, CA","Oklahoma City, OK",210
4357,SFO,OKC,United Airlines,256.17418,1,1383.54927445104,"San Francisco, CA","Oklahoma City, OK",620
4358,OAK,OKC,Southwest Airlines,247.10226000000003,0,1374.9593325666779,"Oakland, CA","Oklahoma City, OK",400
4359,SMF,OKC,Southwest Airlines,241.71618999999998,0,1341.5190407636098,"Sacramento, CA","Oklahoma City, OK",790
4427,SJC,OMA,Southwest Airlines,249.58456,0,1415.400472988292,"San Jose, CA","Omaha, NE",550
4428,SFO,OMA,Southwest Airlines,252.62139000000002,0,1432.947100982136,"San Francisco, CA","Omaha, NE",290
4429,SMF,OMA,American Airlines,284.89642000000003,0,1370.232160029813,"Sacramento, CA","Omaha, NE",140
4430,SFO,OMA,United Airlines,256.99999,0,1432.947100982136,"San Francisco, CA","Omaha, NE",350
4431,OAK,OMA,Southwest Airlines,226.43080000000003,0,1422.689091355538,"Oakland, CA","Omaha, NE",890
4432,SMF,OMA,Southwest Airlines,271.23246,0,1370.232160029813,"Sacramento, CA","Omaha, NE",820
4433,SJC,OMA,United Airlines,231.04546000000005,0,1415.400472988292,"San Jose, CA","Omaha, NE",110
4434,SMF,OMA,United Airlines,240.56251,0,1370.232160029813,"Sacramento, CA","Omaha, NE",240
4435,OAK,OMA,Allegiant Air,83.666664,1,1422.689091355538,"Oakland, CA","Omaha, NE",330
4436,OAK,OMA,Southwest Airlines,217.76466000000002,1,1422.689091355538,"Oakland, CA","Omaha, NE",150
4437,SFO,OMA,United Airlines,296.19684,1,1432.947100982136,"San Francisco, CA","Omaha, NE",540
4621,OAK,MCO,Southwest Airlines,226.34428,1,2437.764879774239,"Oakland, CA","Orlando, FL",560
4622,SFO,MCO,Virgin America,296.23098,0,2445.878347722207,"San Francisco, CA","Orlando, FL",410
4623,SJC,MCO,Delta Air Lines,339.12203,0,2420.532415257625,"San Jose, CA","Orlando, FL",390
4624,SJC,MCO,American Airlines,276.22732999999994,0,2420.532415257625,"San Jose, CA","Orlando, FL",1450
4625,SFO,MCO,Southwest Airlines,249.0196,0,2445.878347722207,"San Francisco, CA","Orlando, FL",970
4626,SFO,MCO,Delta Air Lines,256.41172,0,2445.878347722207,"San Francisco, CA","Orlando, FL",1460
4627,SMF,MCO,Delta Air Lines,382.14165999999994,0,2408.021430231855,"Sacramento, CA","Orlando, FL",300
4628,SMF,MCO,Southwest Airlines,291.60132,0,2408.021430231855,"Sacramento, CA","Orlando, FL",2120
4629,SJC,MCO,United Airlines,271.41134999999997,0,2420.532415257625,"San Jose, CA","Orlando, FL",370
4630,SFO,MCO,Frontier Airlines,172.6584,0,2445.878347722207,"San Francisco, CA","Orlando, FL",440
4631,SJC,MCO,Southwest Airlines,273.86827,0,2420.532415257625,"San Jose, CA","Orlando, FL",1100
4632,SFO,MCO,Alaska Airlines,199.55349999999999,1,2445.878347722207,"San Francisco, CA","Orlando, FL",200
4633,SMF,MCO,American Airlines,292.75756,0,2408.021430231855,"Sacramento, CA","Orlando, FL",1650
4634,SMF,MCO,United Airlines,287.43507999999997,0,2408.021430231855,"Sacramento, CA","Orlando, FL",490
4635,SFO,MCO,Virgin America,267.1952,1,2445.878347722207,"San Francisco, CA","Orlando, FL",790
4636,OAK,MCO,American Airlines,300.88460000000003,0,2437.764879774239,"Oakland, CA","Orlando, FL",260
4637,SFO,MCO,Frontier Airlines,142.34368,1,2445.878347722207,"San Francisco, CA","Orlando, FL",5170
4638,SMF,MCO,Southwest Airlines,266.541,1,2408.021430231855,"Sacramento, CA","Orlando, FL",400
4639,OAK,MCO,Southwest Airlines,266.34457,0,2437.764879774239,"Oakland, CA","Orlando, FL",2030
4640,SFO,MCO,United Airlines,295.1196,1,2445.878347722207,"San Francisco, CA","Orlando, FL",16450
4641,SFO,MCO,Southwest Airlines,222.48545,1,2445.878347722207,"San Francisco, CA","Orlando, FL",110
4642,SFO,MCO,American Airlines,256.60105,0,2445.878347722207,"San Francisco, CA","Orlando, FL",1040
4643,SFO,MCO,American Airlines,216.44721,1,2445.878347722207,"San Francisco, CA","Orlando, FL",180
4644,SFO,MCO,United Airlines,327.71628,0,2445.878347722207,"San Francisco, CA","Orlando, FL",780
4647,SFO,MLB,Delta Air Lines,348.59092000000004,0,2492.104208608993,"San Francisco, CA","Melbourne, FL",110
4792,SFO,PHL,United Airlines,406.6810100000001,0,2521.293769763918,"San Francisco, CA","Philadelphia, PA",400
4793,OAK,PHL,American Airlines,350.34782999999993,0,2511.02865247589,"Oakland, CA","Philadelphia, PA",230
4794,SMF,PHL,American Airlines,338.10328999999996,0,2457.946923469229,"Sacramento, CA","Philadelphia, PA",880
4795,SFO,PHL,United Airlines,409.20105000000007,1,2521.293769763918,"San Francisco, CA","Philadelphia, PA",3900
4796,SJC,PHL,Southwest Airlines,326.37589,0,2503.6752057133967,"San Jose, CA","Philadelphia, PA",340
4797,SMF,PHL,Southwest Airlines,328.82459,0,2457.946923469229,"Sacramento, CA","Philadelphia, PA",870
4798,OAK,PHL,Southwest Airlines,325.58968,0,2511.02865247589,"Oakland, CA","Philadelphia, PA",1010
4799,OAK,PHL,Delta Air Lines,334.70818999999995,0,2511.02865247589,"Oakland, CA","Philadelphia, PA",110
4800,SJC,PHL,United Airlines,317.7,0,2503.6752057133967,"San Jose, CA","Philadelphia, PA",180
4801,SFO,PHL,American Airlines,350.00562999999994,1,2521.293769763918,"San Francisco, CA","Philadelphia, PA",9860
4802,SMF,PHL,Southwest Airlines,336.52601000000004,1,2457.946923469229,"Sacramento, CA","Philadelphia, PA",200
4803,SFO,PHL,Southwest Airlines,362.26285,0,2521.293769763918,"San Francisco, CA","Philadelphia, PA",140
4804,SFO,PHL,American Airlines,330.95462,0,2521.293769763918,"San Francisco, CA","Philadelphia, PA",670
4805,SJC,PHL,Delta Air Lines,334.53956,0,2503.6752057133967,"San Jose, CA","Philadelphia, PA",220
4806,SMF,PHL,United Airlines,341.99634,0,2457.946923469229,"Sacramento, CA","Philadelphia, PA",300
