year,month,location,avg_fare,avg_miles,num_rides
2018,12,21.0,9.299497111171823,4.755784591056144,98829
2018,12,22.0,9.017301989669026,4.3336580549864205,334528
2018,12,23.0,9.339147057955183,4.900188974003686,67742
2018,12,24.0,8.72300223184514,3.996735870008974,562315
2018,12,25.0,10.096119316536345,5.833229942349117,86325
2018,12,26.0,9.366049289003593,5.407144009656219,19761
2018,12,27.0,9.196431262621696,5.21551805184968,33177
2018,12,28.0,9.153650159127059,4.48010567909421,737461
2018,12,29.0,9.495741639317856,5.567798633186311,49667
2018,12,30.0,9.792802066933108,5.846146399246639,49542
2018,12,31.0,9.258269327260797,5.191764102483199,103636
2018,12,32.0,10.093208271295909,4.909959453530938,739473
2018,12,33.0,9.969135802469136,4.920606472919668,148959
2018,12,34.0,9.308970732238059,5.172391580037146,36764
2018,12,35.0,9.352728807201801,5.922099512474403,53320
